B3 1TZ,No,52.47666,-1.903535,406649,286530,SP066865,"West Midlands","Birmingham","Ladywood",E08000025,E05011151,England,E11000018,"Birmingham, Ladywood",1998-06-01,2011-08-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138D","Urban major conurbation",West Midlands,141,,E01033625,,E02006899,"Birmingham 138",E43000250,E00175658,E14000564,12673,1,1,2019-02-23,"Birmingham New Street",0.259589,B,B3
B3 1UA,No,52.485265,-1.905578,406509,287487,SP065874,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1995-12-01,1997-12-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138B","Urban major conurbation",West Midlands,130,,E01033622,,E02006899,"Birmingham 138",E43000250,E00175771,E14000564,12315,6,1,2019-02-23,"Birmingham Snow Hill",0.487649,B,B3
B3 1UB,No,52.486283,-1.908654,406300,287600,SP062875,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1990-07-01,1991-12-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,140,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,8,1,2019-02-23,"Jewellery Quarter",0.466819,B,B3
B3 1UD,Yes,52.486966,-1.907769,406360,287676,SP063876,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",10,8,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,137,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175654,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.459376,B,B3
B3 1UE,Yes,52.486957,-1.908564,406306,287675,SP063876,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,140,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175654,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.418138,B,B3
B3 1UF,Yes,52.486949,-1.908903,406283,287674,SP062876,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 137D","Urban major conurbation",West Midlands,140,,E01033619,,E02006898,"Birmingham 137",E43000250,E00175707,E14000564,13700,1,0,2019-02-23,"Jewellery Quarter",0.401778,B,B3
B3 1UG,Yes,52.486481,-1.90858,406305,287622,SP063876,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",3,2,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,140,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.453982,B,B3
B3 1UH,No,52.486282,-1.907181,406400,287600,SP064875,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1987-04-01,1994-12-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,137,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175778,E14000564,5997,8,1,2019-02-23,"Jewellery Quarter",0.537981,B,B3
B3 1UJ,No,52.486776,-1.907254,406395,287655,SP063876,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,2008-06-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,136,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175778,E14000564,5997,1,1,2019-02-23,"Jewellery Quarter",0.499949,B,B3
B3 1UL,No,52.486282,-1.907181,406400,287600,SP064875,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,1992-12-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,137,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175778,E14000564,5997,8,1,2019-02-23,"Jewellery Quarter",0.537981,B,B3
